Sample,Iteration,Kernel,Accuracy,C,Gamma
S2,14,rbf,0.9532163742690059,10.0,0.46415888336127775
S2,14,poly,0.9415204678362573,215.44346900318823,2.154434690031882
S2,15,linear,0.9590643274853801,2.154434690031882,0.004641588833612777
S2,15,rbf,0.9590643274853801,0.1,2.154434690031882
S2,15,poly,0.9649122807017544,46.41588833612773,215.44346900318823
S2,16,linear,0.9473684210526315,215.44346900318823,0.1
S2,16,rbf,0.9649122807017544,0.46415888336127775,0.001
S2,16,poly,0.7894736842105263,0.1,215.44346900318823
S2,17,linear,0.9649122807017544,0.004641588833612777,2.154434690031882
S2,17,rbf,0.9649122807017544,0.46415888336127775,1000.0
S2,17,poly,0.9298245614035088,2.154434690031882,46.41588833612773
S2,18,linear,0.9649122807017544,0.004641588833612777,215.44346900318823
S2,18,rbf,0.9532163742690059,10.0,0.021544346900318832
S2,18,poly,0.9590643274853801,10.0,0.021544346900318832
S2,19,linear,0.9649122807017544,10.0,0.001
S2,19,rbf,0.9649122807017544,0.46415888336127775,215.44346900318823
S2,19,poly,0.9590643274853801,10.0,10.0
S2,20,linear,0.9473684210526315,215.44346900318823,1000.0
S2,20,rbf,0.8654970760233918,0.021544346900318832,10.0
S2,20,poly,0.7134502923976608,0.021544346900318832,10.0
S2,21,linear,0.935672514619883,0.001,0.001
S2,21,rbf,0.631578947368421,0.001,0.46415888336127775
S2,21,poly,0.8771929824561403,0.46415888336127775,0.001
S2,22,linear,0.9590643274853801,2.154434690031882,0.1
S2,22,rbf,0.8654970760233918,0.021544346900318832,0.1
S2,22,poly,0.9649122807017544,46.41588833612773,215.44346900318823
S2,23,linear,0.9649122807017544,10.0,0.001
S2,23,rbf,0.9649122807017544,0.46415888336127775,215.44346900318823
S2,23,poly,0.9473684210526315,1000.0,0.004641588833612777
S2,24,linear,0.935672514619883,0.001,10.0
S2,24,rbf,0.631578947368421,0.004641588833612777,0.1
S2,24,poly,0.9473684210526315,1000.0,0.1
S2,25,linear,0.9473684210526315,0.46415888336127775,1000.0
S2,25,rbf,0.9532163742690059,10.0,2.154434690031882
S2,25,poly,0.9298245614035088,2.154434690031882,46.41588833612773
S2,26,linear,0.9590643274853801,46.41588833612773,0.021544346900318832
S2,26,rbf,0.9590643274853801,2.154434690031882,0.021544346900318832
S2,26,poly,0.7894736842105263,0.1,215.44346900318823
S2,27,linear,0.9473684210526315,215.44346900318823,215.44346900318823
S2,27,rbf,0.9590643274853801,2.154434690031882,2.154434690031882
S2,27,poly,0.9298245614035088,2.154434690031882,0.46415888336127775
S2,28,linear,0.9473684210526315,215.44346900318823,215.44346900318823
S2,28,rbf,0.631578947368421,0.001,0.001
S2,28,poly,0.7894736842105263,0.1,10.0
S2,29,linear,0.935672514619883,0.001,10.0
S2,29,rbf,0.9590643274853801,2.154434690031882,0.1
S2,29,poly,0.9415204678362573,215.44346900318823,0.004641588833612777
S2,30,linear,0.9473684210526315,215.44346900318823,0.021544346900318832
S2,30,rbf,0.9590643274853801,0.1,0.004641588833612777
S2,30,poly,0.6783625730994152,0.004641588833612777,0.021544346900318832
S2,31,linear,0.935672514619883,0.001,0.46415888336127775
S2,31,rbf,0.9649122807017544,0.46415888336127775,0.021544346900318832
S2,31,poly,0.8771929824561403,0.46415888336127775,1000.0
S2,32,linear,0.9590643274853801,2.154434690031882,46.41588833612773
S2,32,rbf,0.935672514619883,46.41588833612773,1000.0
S2,32,poly,0.7134502923976608,0.021544346900318832,215.44346900318823
